n_orders_in_system,n_express_orders_pct,avg_due_date_tightness,fraction_already_late,zone_utilization_avg,zone_utilization_std,bottleneck_zone,avg_remaining_proc_time,std_remaining_proc_time,throughput_last_30min,breakdown_flag,n_broken_stations,lunch_break_flag,surge_multiplier,batch_pending_flag,avg_priority_weight,max_tardiness_so_far,sla_breach_rate_current,disruption_intensity,queue_imbalance,job_mix_entropy,time_pressure_ratio,pct_type_A,pct_type_B,pct_type_C,pct_type_D,pct_type_E,count_type_A,count_type_B,count_type_C,count_type_D,count_type_E,job_type_encoded,proc_time_next_station,remaining_proc_time,time_to_due,time_in_system,critical_ratio,station_queue_at_next,priority_score
1459.0,0.08978752791881561,-51.64426803588867,0.5446985363960266,0.5130839347839355,0.33807721734046936,0.961125373840332,33.68389892578125,8.975066184997559,0.0,1.0,1.0,0.0,1.2999999523162842,0.0,1.4555093050003052,355.0474853515625,0.26284584403038025,0.17499999701976776,2.2226691246032715,2.2180285453796387,0.6292446255683899,0.16424116492271423,0.29175329208374023,0.2723492681980133,0.18087318539619446,0.09078308939933777,237.0,421.0,393.0,261.0,131.0,4.0,0.0,0.0,-68.411865234375,128.411865234375,999.0,0.0,1.0
1459.0,0.08978752791881561,-51.64426803588867,0.5446985363960266,0.5130839347839355,0.33807721734046936,0.961125373840332,33.68389892578125,8.975066184997559,0.0,1.0,1.0,0.0,1.2999999523162842,0.0,1.4555093050003052,355.0474853515625,0.26284584403038025,0.17499999701976776,2.2226691246032715,2.2180285453796387,0.6292446255683899,0.16424116492271423,0.29175329208374023,0.2723492681980133,0.18087318539619446,0.09078308939933777,237.0,421.0,393.0,261.0,131.0,4.0,0.0,0.0,-42.702415466308594,102.7024154663086,999.0,0.0,1.0
1459.0,0.08978752791881561,-51.64426803588867,0.5446985363960266,0.5130839347839355,0.33807721734046936,0.961125373840332,33.68389892578125,8.975066184997559,0.0,1.0,1.0,0.0,1.2999999523162842,0.0,1.4555093050003052,355.0474853515625,0.26284584403038025,0.17499999701976776,2.2226691246032715,2.2180285453796387,0.6292446255683899,0.16424116492271423,0.29175329208374023,0.2723492681980133,0.18087318539619446,0.09078308939933777,237.0,421.0,393.0,261.0,131.0,0.0,0.0,0.0,-345.0,465.0,999.0,0.0,0.8349235019850161
1459.0,0.08978752791881561,-51.64426803588867,0.5446985363960266,0.5130839347839355,0.33807721734046936,0.961125373840332,33.68389892578125,8.975066184997559,0.0,1.0,1.0,0.0,1.2999999523162842,0.0,1.4555093050003052,355.0474853515625,0.26284584403038025,0.17499999701976776,2.2226691246032715,2.2180285453796387,0.6292446255683899,0.16424116492271423,0.29175329208374023,0.2723492681980133,0.18087318539619446,0.09078308939933777,237.0,421.0,393.0,261.0,131.0,4.0,0.0,0.0,-73.25151062011719,133.2515106201172,999.0,0.0,1.0
1459.0,0.08978752791881561,-51.64426803588867,0.5446985363960266,0.5130839347839355,0.33807721734046936,0.961125373840332,33.68389892578125,8.975066184997559,0.0,1.0,1.0,0.0,1.2999999523162842,0.0,1.4555093050003052,355.0474853515625,0.26284584403038025,0.17499999701976776,2.2226691246032715,2.2180285453796387,0.6292446255683899,0.16424116492271423,0.29175329208374023,0.2723492681980133,0.18087318539619446,0.09078308939933777,237.0,421.0,393.0,261.0,131.0,0.0,0.0,0.0,-477.9246520996094,597.9246826171875,999.0,0.0,0.9166666666666667
1459.0,0.08978752791881561,-51.64426803588867,0.5446985363960266,0.5130839347839355,0.33807721734046936,0.961125373840332,33.68389892578125,8.975066184997559,0.0,1.0,1.0,0.0,1.2999999523162842,0.0,1.4555093050003052,355.0474853515625,0.26284584403038025,0.17499999701976776,2.2226691246032715,2.2180285453796387,0.6292446255683899,0.16424116492271423,0.29175329208374023,0.2723492681980133,0.18087318539619446,0.09078308939933777,237.0,421.0,393.0,261.0,131.0,4.0,0.0,0.0,-466.3843994140625,526.3843994140625,999.0,0.0,1.0
1459.0,0.08978752791881561,-51.64426803588867,0.5446985363960266,0.5130839347839355,0.33807721734046936,0.961125373840332,33.68389892578125,8.975066184997559,0.0,1.0,1.0,0.0,1.2999999523162842,0.0,1.4555093050003052,355.0474853515625,0.26284584403038025,0.17499999701976776,2.2226691246032715,2.2180285453796387,0.6292446255683899,0.16424116492271423,0.29175329208374023,0.2723492681980133,0.18087318539619446,0.09078308939933777,237.0,421.0,393.0,261.0,131.0,4.0,0.0,0.0,6.959900856018066,53.04010009765625,999.0,0.0,0.9652004946669779
1459.0,0.08978752791881561,-51.64426803588867,0.5446985363960266,0.5130839347839355,0.33807721734046936,0.961125373840332,33.68389892578125,8.975066184997559,0.0,1.0,1.0,0.0,1.2999999523162842,0.0,1.4555093050003052,355.0474853515625,0.26284584403038025,0.17499999701976776,2.2226691246032715,2.2180285453796387,0.6292446255683899,0.16424116492271423,0.29175329208374023,0.2723492681980133,0.18087318539619446,0.09078308939933777,237.0,421.0,393.0,261.0,131.0,0.0,0.0,0.0,-243.585693359375,363.585693359375,999.0,0.0,0.9091698862927282
1459.0,0.08978752791881561,-51.64426803588867,0.5446985363960266,0.5130839347839355,0.33807721734046936,0.961125373840332,33.68389892578125,8.975066184997559,0.0,1.0,1.0,0.0,1.2999999523162842,0.0,1.4555093050003052,355.0474853515625,0.26284584403038025,0.17499999701976776,2.2226691246032715,2.2180285453796387,0.6292446255683899,0.16424116492271423,0.29175329208374023,0.2723492681980133,0.18087318539619446,0.09078308939933777,237.0,421.0,393.0,261.0,131.0,0.0,0.0,0.0,-435.0,555.0,999.0,0.0,0.9166666666666667
1459.0,0.08978752791881561,-51.64426803588867,0.5446985363960266,0.5130839347839355,0.33807721734046936,0.961125373840332,33.68389892578125,8.975066184997559,0.0,1.0,1.0,0.0,1.2999999523162842,0.0,1.4555093050003052,355.0474853515625,0.26284584403038025,0.17499999701976776,2.2226691246032715,2.2180285453796387,0.6292446255683899,0.16424116492271423,0.29175329208374023,0.2723492681980133,0.18087318539619446,0.09078308939933777,237.0,421.0,393.0,261.0,131.0,4.0,0.0,0.0,-315.0,375.0,999.0,0.0,1.0
1482.0,0.08839406073093414,-50.66205596923828,0.5454545617103577,0.5266700387001038,0.3399263322353363,0.9720963835716248,33.775882720947266,8.998598098754883,0.0,1.0,3.0,0.0,1.2999999523162842,0.0,1.4518113136291504,432.2635192871094,0.2977527976036072,0.375,2.2438056468963623,2.2093162536621094,0.6343130469322205,0.15721121430397034,0.3034859895706177,0.2686261236667633,0.1811346560716629,0.08954203873872757,230.0,444.0,393.0,265.0,131.0,4.0,0.0,0.0,-67.86851501464844,127.86851501464844,999.0,0.0,1.0
1482.0,0.08839406073093414,-50.66205596923828,0.5454545617103577,0.5266700387001038,0.3399263322353363,0.9720963835716248,33.775882720947266,8.998598098754883,0.0,1.0,3.0,0.0,1.2999999523162842,0.0,1.4518113136291504,432.2635192871094,0.2977527976036072,0.375,2.2438056468963623,2.2093162536621094,0.6343130469322205,0.15721121430397034,0.3034859895706177,0.2686261236667633,0.1811346560716629,0.08954203873872757,230.0,444.0,393.0,265.0,131.0,4.0,0.0,0.0,-32.41450119018555,92.41449737548828,999.0,0.0,1.0
1482.0,0.08839406073093414,-50.66205596923828,0.5454545617103577,0.5266700387001038,0.3399263322353363,0.9720963835716248,33.775882720947266,8.998598098754883,0.0,1.0,3.0,0.0,1.2999999523162842,0.0,1.4518113136291504,432.2635192871094,0.2977527976036072,0.375,2.2438056468963623,2.2093162536621094,0.6343130469322205,0.15721121430397034,0.3034859895706177,0.2686261236667633,0.1811346560716629,0.08954203873872757,230.0,444.0,393.0,265.0,131.0,0.0,0.0,0.0,-255.0,375.0,999.0,0.0,0.6666666666666667
1482.0,0.08839406073093414,-50.66205596923828,0.5454545617103577,0.5266700387001038,0.3399263322353363,0.9720963835716248,33.775882720947266,8.998598098754883,0.0,1.0,3.0,0.0,1.2999999523162842,0.0,1.4518113136291504,432.2635192871094,0.2977527976036072,0.375,2.2438056468963623,2.2093162536621094,0.6343130469322205,0.15721121430397034,0.3034859895706177,0.2686261236667633,0.1811346560716629,0.08954203873872757,230.0,444.0,393.0,265.0,131.0,4.0,0.0,0.0,-94.62255859375,154.62255859375,999.0,0.0,1.0
1482.0,0.08839406073093414,-50.66205596923828,0.5454545617103577,0.5266700387001038,0.3399263322353363,0.9720963835716248,33.775882720947266,8.998598098754883,0.0,1.0,3.0,0.0,1.2999999523162842,0.0,1.4518113136291504,432.2635192871094,0.2977527976036072,0.375,2.2438056468963623,2.2093162536621094,0.6343130469322205,0.15721121430397034,0.3034859895706177,0.2686261236667633,0.1811346560716629,0.08954203873872757,230.0,444.0,393.0,265.0,131.0,0.0,0.0,0.0,-419.3343200683594,539.3342895507812,999.0,0.0,0.6666666666666667
1482.0,0.08839406073093414,-50.66205596923828,0.5454545617103577,0.5266700387001038,0.3399263322353363,0.9720963835716248,33.775882720947266,8.998598098754883,0.0,1.0,3.0,0.0,1.2999999523162842,0.0,1.4518113136291504,432.2635192871094,0.2977527976036072,0.375,2.2438056468963623,2.2093162536621094,0.6343130469322205,0.15721121430397034,0.3034859895706177,0.2686261236667633,0.1811346560716629,0.08954203873872757,230.0,444.0,393.0,265.0,131.0,0.0,0.0,0.0,-473.56201171875,593.56201171875,999.0,0.0,0.9166666666666667
1482.0,0.08839406073093414,-50.66205596923828,0.5454545617103577,0.5266700387001038,0.3399263322353363,0.9720963835716248,33.775882720947266,8.998598098754883,0.0,1.0,3.0,0.0,1.2999999523162842,0.0,1.4518113136291504,432.2635192871094,0.2977527976036072,0.375,2.2438056468963623,2.2093162536621094,0.6343130469322205,0.15721121430397034,0.3034859895706177,0.2686261236667633,0.1811346560716629,0.08954203873872757,230.0,444.0,393.0,265.0,131.0,0.0,0.0,0.0,-161.64877319335938,281.6487731933594,999.0,0.0,0.7711374329599163
1482.0,0.08839406073093414,-50.66205596923828,0.5454545617103577,0.5266700387001038,0.3399263322353363,0.9720963835716248,33.775882720947266,8.998598098754883,0.0,1.0,3.0,0.0,1.2999999523162842,0.0,1.4518113136291504,432.2635192871094,0.2977527976036072,0.375,2.2438056468963623,2.2093162536621094,0.6343130469322205,0.15721121430397034,0.3034859895706177,0.2686261236667633,0.1811346560716629,0.08954203873872757,230.0,444.0,393.0,265.0,131.0,4.0,0.0,0.0,-40.1409912109375,100.1409912109375,999.0,0.0,1.0
1482.0,0.08839406073093414,-50.66205596923828,0.5454545617103577,0.5266700387001038,0.3399263322353363,0.9720963835716248,33.775882720947266,8.998598098754883,0.0,1.0,3.0,0.0,1.2999999523162842,0.0,1.4518113136291504,432.2635192871094,0.2977527976036072,0.375,2.2438056468963623,2.2093162536621094,0.6343130469322205,0.15721121430397034,0.3034859895706177,0.2686261236667633,0.1811346560716629,0.08954203873872757,230.0,444.0,393.0,265.0,131.0,0.0,0.0,0.0,-357.3434753417969,477.3434753417969,999.0,0.0,0.6666666666666667
1482.0,0.08839406073093414,-50.66205596923828,0.5454545617103577,0.5266700387001038,0.3399263322353363,0.9720963835716248,33.775882720947266,8.998598098754883,0.0,1.0,3.0,0.0,1.2999999523162842,0.0,1.4518113136291504,432.2635192871094,0.2977527976036072,0.375,2.2438056468963623,2.2093162536621094,0.6343130469322205,0.15721121430397034,0.3034859895706177,0.2686261236667633,0.1811346560716629,0.08954203873872757,230.0,444.0,393.0,265.0,131.0,0.0,0.0,0.0,-147.44076538085938,267.4407653808594,999.0,0.0,0.913311155080444
1507.0,0.09688121825456619,-55.00580978393555,0.544966459274292,0.5130067467689514,0.34067466855049133,0.9879075884819031,33.3160514831543,9.040444374084473,0.0,1.0,2.0,0.0,1.2999999523162842,0.0,1.4966442584991455,405.06878662109375,0.295634925365448,0.2750000059604645,2.200796604156494,2.2322869300842285,0.62684565782547,0.183892622590065,0.30201342701911926,0.24496644735336304,0.17114093899726868,0.09798657894134521,274.0,450.0,365.0,255.0,146.0,0.0,0.0,0.0,-268.0833435058594,388.0833435058594,999.0,0.0,0.896505914613037
1507.0,0.09688121825456619,-55.00580978393555,0.544966459274292,0.5130067467689514,0.34067466855049133,0.9879075884819031,33.3160514831543,9.040444374084473,0.0,1.0,2.0,0.0,1.2999999523162842,0.0,1.4966442584991455,405.06878662109375,0.295634925365448,0.2750000059604645,2.200796604156494,2.2322869300842285,0.62684565782547,0.183892622590065,0.30201342701911926,0.24496644735336304,0.17114093899726868,0.09798657894134521,274.0,450.0,365.0,255.0,146.0,0.0,0.0,0.0,-454.477783203125,574.477783203125,999.0,0.0,0.9166666666666667
1507.0,0.09688121825456619,-55.00580978393555,0.544966459274292,0.5130067467689514,0.34067466855049133,0.9879075884819031,33.3160514831543,9.040444374084473,0.0,1.0,2.0,0.0,1.2999999523162842,0.0,1.4966442584991455,405.06878662109375,0.295634925365448,0.2750000059604645,2.200796604156494,2.2322869300842285,0.62684565782547,0.183892622590065,0.30201342701911926,0.24496644735336304,0.17114093899726868,0.09798657894134521,274.0,450.0,365.0,255.0,146.0,0.0,0.0,0.0,-249.7659912109375,369.7659912109375,999.0,0.0,0.8930229727848646
1507.0,0.09688121825456619,-55.00580978393555,0.544966459274292,0.5130067467689514,0.34067466855049133,0.9879075884819031,33.3160514831543,9.040444374084473,0.0,1.0,2.0,0.0,1.2999999523162842,0.0,1.4966442584991455,405.06878662109375,0.295634925365448,0.2750000059604645,2.200796604156494,2.2322869300842285,0.62684565782547,0.183892622590065,0.30201342701911926,0.24496644735336304,0.17114093899726868,0.09798657894134521,274.0,450.0,365.0,255.0,146.0,4.0,0.0,0.0,-98.7642822265625,158.7642822265625,999.0,0.0,1.0
1507.0,0.09688121825456619,-55.00580978393555,0.544966459274292,0.5130067467689514,0.34067466855049133,0.9879075884819031,33.3160514831543,9.040444374084473,0.0,1.0,2.0,0.0,1.2999999523162842,0.0,1.4966442584991455,405.06878662109375,0.295634925365448,0.2750000059604645,2.200796604156494,2.2322869300842285,0.62684565782547,0.183892622590065,0.30201342701911926,0.24496644735336304,0.17114093899726868,0.09798657894134521,274.0,450.0,365.0,255.0,146.0,0.0,0.0,0.0,-300.0,420.0,999.0,0.0,0.6666666666666667
1507.0,0.09688121825456619,-55.00580978393555,0.544966459274292,0.5130067467689514,0.34067466855049133,0.9879075884819031,33.3160514831543,9.040444374084473,0.0,1.0,2.0,0.0,1.2999999523162842,0.0,1.4966442584991455,405.06878662109375,0.295634925365448,0.2750000059604645,2.200796604156494,2.2322869300842285,0.62684565782547,0.183892622590065,0.30201342701911926,0.24496644735336304,0.17114093899726868,0.09798657894134521,274.0,450.0,365.0,255.0,146.0,0.0,0.0,0.0,-456.15289306640625,576.1528930664062,999.0,0.0,0.9166666666666667
1507.0,0.09688121825456619,-55.00580978393555,0.544966459274292,0.5130067467689514,0.34067466855049133,0.9879075884819031,33.3160514831543,9.040444374084473,0.0,1.0,2.0,0.0,1.2999999523162842,0.0,1.4966442584991455,405.06878662109375,0.295634925365448,0.2750000059604645,2.200796604156494,2.2322869300842285,0.62684565782547,0.183892622590065,0.30201342701911926,0.24496644735336304,0.17114093899726868,0.09798657894134521,274.0,450.0,365.0,255.0,146.0,0.0,0.0,0.0,-158.52615356445312,278.5261535644531,999.0,0.0,0.9166666666666667
