model,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,cohens_kappa,roc_auc_ovr_macro,pr_auc_macro,log_loss,brier_mean,cv_acc_mean,cv_acc_std
dt,0.6025641025641025,0.4282351174259888,0.40771777248700786,0.6220041916185408,0.37651843476496183,0.3689056855907962,0.6713428192795724,0.30702594643301845,9.39334619206534,0.11290387420493524,0.5506410256410257,0.03896043948467369
rf,0.717948717948718,0.4139200641067861,0.4325725363231358,0.6915586999327537,0.47322789065488663,0.4636561398244693,0.877589572890907,0.5008881510723487,0.9475455997444516,0.06541865381255578,0.6846153846153846,0.019506569300901215
xgb,0.6666666666666666,0.407757030889811,0.4043884748742815,0.6617795434830166,0.4135454225646658,0.4125417130144604,0.8508594838186978,0.49369002574839854,1.0283439141235295,0.0794151679923137,0.6717948717948719,0.01971609807593552
